timestamp,accx,accy,accz,gyrox,gyroy,gyroz,label
0,-0.06,-0.02,1,1.16,-3.42,1.04,1
0.05,-0.06,-0.03,1,0.98,-8.12,0.85,1
0.1,-0.06,-0.02,1,1.04,-4.33,1.04,1
0.15,-0.06,-0.02,0.99,1.16,-7.02,1.04,1
0.2,-0.06,-0.03,1,1.04,-5.43,0.92,1
0.25,-0.06,-0.02,0.99,0.92,-5.8,1.1,1
0.3,-0.06,-0.03,1,0.92,-6.16,1.04,1
0.35,-0.06,-0.02,1,1.04,-5.37,1.16,1
0.4,-0.06,-0.02,0.99,1.04,-5.92,1.1,1
0.45,-0.06,-0.02,1,1.1,-5.92,0.92,1
0.5,-0.06,-0.03,1,1.1,-5.74,0.79,1
0.55,-0.06,-0.02,1,1.04,-5.74,0.98,1
0.6,-0.06,-0.02,0.99,0.85,-5.98,1.28,1
0.65,-0.06,-0.02,0.99,1.1,-5.98,1.04,1
0.7,-0.06,-0.03,1,0.61,-5.68,1.04,1
0.75,-0.06,-0.02,1,0.85,-5.74,0.98,1
0.8,-0.06,-0.02,1,0.85,-5.92,0.92,1
0.85,-0.06,-0.02,1,0.79,-5.74,1.16,1
0.9,-0.06,-0.02,0.99,0.85,-5.98,1.1,1
0.95,-0.06,-0.02,1,0.85,-5.86,0.98,1
1,-0.06,-0.02,1,0.79,-5.68,1.04,1
1.05,-0.06,-0.02,1,0.92,-5.62,0.92,1
1.1,-0.06,-0.02,1,0.92,-5.86,1.04,1
1.15,-0.03,-0.05,1.06,0.61,-10.25,0.61,1
1.2,-0.06,-0.03,0.98,0.79,-5.74,0.79,1
1.25,-0.06,-0.03,0.99,0.85,-6.71,1.16,1
1.3,-0.06,-0.02,1,1.16,-6.59,1.1,1
1.35,-0.06,-0.02,1,0.98,-5.07,1.1,1
1.4,-0.06,-0.02,1,0.79,-6.47,0.92,1
1.45,-0.06,-0.03,1,0.79,-4.94,0.92,1
1.5,-0.06,-0.02,0.99,0.98,-6.23,0.79,1
1.55,-0.06,-0.02,1,0.79,-5.98,0.98,1
1.6,-0.06,-0.02,0.99,0.79,-5.49,0.85,1
1.65,-0.06,-0.02,0.99,0.85,-6.04,0.98,1
1.7,-0.06,-0.03,1,1.04,-5.68,1.04,1
1.75,-0.06,-0.02,0.99,0.79,-5.86,0.79,1
1.8,-0.06,-0.02,0.99,0.85,-5.98,0.98,1
1.85,-0.06,-0.03,1,0.92,-5.92,1.16,1
1.9,-0.06,-0.02,0.99,0.79,-5.55,1.04,1
1.95,-0.06,-0.02,0.99,0.98,-5.86,1.04,1
2,-0.06,-0.02,1,0.92,-5.74,1.04,1
2.05,-0.06,-0.03,0.99,0.79,-5.86,1.04,1
2.1,-0.06,-0.02,0.99,0.98,-5.62,0.98,1
2.15,-0.06,-0.02,1,0.85,-5.62,1.04,1
2.2,-0.06,-0.02,0.99,0.67,-5.55,1.04,1
2.25,-0.06,-0.02,0.99,0.92,-5.8,1.1,1
2.3,-0.06,-0.03,1,0.85,-5.86,0.98,1
2.35,-0.06,-0.02,1,0.92,-5.86,1.1,1
2.4,-0.06,-0.02,0.99,0.92,-5.74,0.98,1
2.45,-0.06,-0.02,0.99,0.85,-5.74,0.98,1
2.5,-0.06,-0.02,0.99,0.92,-5.62,0.92,1
2.55,-0.06,-0.02,0.99,0.73,-5.68,1.22,1
2.6,-0.06,-0.02,0.99,0.92,-5.68,0.85,1
2.65,-0.06,-0.03,1,0.98,-5.55,0.85,1
2.7,-0.06,-0.02,1,0.98,-5.62,0.92,1
2.75,-0.06,-0.03,0.99,1.04,-5.74,1.1,1
2.8,-0.06,-0.02,0.99,0.85,-5.98,1.04,1
2.85,-0.06,-0.02,0.99,0.98,-5.86,0.98,1
2.9,-0.06,-0.03,0.99,0.92,-5.74,0.85,1
2.95,-0.06,-0.02,0.99,0.73,-5.86,0.98,1
3,-0.06,-0.02,1,1.04,-5.98,1.1,1
3.05,-0.06,-0.03,0.99,1.1,-6.41,0.55,1
3.1,-0.06,-0.02,1,0.85,-5.62,0.92,1
3.15,-0.06,-0.03,0.99,0.92,-4.64,1.1,1
3.2,-0.05,-0.03,1.01,0.79,-4.15,1.04,1
3.25,-0.06,-0.02,0.99,0.55,-7.08,1.04,1
3.3,-0.06,-0.02,1,0.92,-3.3,1.22,1
3.35,-0.06,-0.02,0.99,1.04,-7.2,0.85,1
3.4,-0.06,-0.03,1,0.79,-4.7,0.98,1
3.45,-0.06,-0.02,0.99,0.92,-6.1,1.16,1
3.5,-0.06,-0.03,1,1.16,-5.43,1.04,1
3.55,-0.06,-0.02,0.99,0.79,-5.25,0.79,1
3.6,-0.06,-0.02,0.99,0.67,-6.35,1.04,1
3.65,-0.06,-0.02,0.99,0.92,-5.62,1.1,1
3.7,-0.06,-0.02,0.99,1.04,-5.98,0.98,1
3.75,-0.06,-0.02,0.99,0.85,-5.92,0.98,1
3.8,-0.06,-0.02,0.99,0.98,-5.62,1.16,1
3.85,-0.06,-0.03,0.99,0.92,-5.74,1.04,1
3.9,-0.06,-0.02,1,0.85,-5.86,1.04,1
3.95,-0.06,-0.02,0.99,0.79,-5.68,0.98,1
4,-0.06,-0.02,0.99,0.92,-5.74,0.98,1
4.05,-0.06,-0.02,1,0.98,-5.68,1.04,1
4.1,-0.06,-0.02,0.99,0.98,-5.8,1.16,1
4.15,-0.06,-0.02,0.99,0.92,-5.55,1.04,1
4.2,-0.06,-0.02,1,0.73,-5.74,0.98,1
4.25,-0.06,-0.02,1,0.92,-5.86,1.1,1
4.3,-0.06,-0.02,1,1.1,-5.86,1.04,1
4.35,-0.06,-0.02,0.99,0.73,-5.74,1.04,1
4.4,-0.06,-0.02,1,0.92,-5.92,1.1,1
4.45,-0.06,-0.02,0.99,1.1,-5.62,1.04,1
4.5,-0.06,-0.02,0.99,0.79,-5.8,0.92,1
4.55,-0.06,-0.02,0.99,0.85,-5.8,1.04,1
4.6,-0.06,-0.02,1,0.85,-5.8,1.16,1
4.65,-0.06,-0.02,1,1.1,-5.74,0.98,1
4.7,-0.06,-0.03,1,0.85,-5.92,1.1,1
4.75,-0.06,-0.02,1,1.16,-5.68,1.04,1
4.8,-0.06,-0.03,1,0.92,-5.68,0.92,1
4.85,-0.06,-0.03,0.99,0.92,-5.68,0.98,1
4.9,-0.06,-0.02,0.99,0.98,-5.8,0.98,1
4.95,-0.06,-0.03,0.99,0.92,-5.62,1.04,1
5,-0.06,-0.02,1,0.79,-5.68,1.04,1
5.05,-0.06,-0.02,0.99,0.92,-5.86,1.1,1
5.1,-0.06,-0.03,0.99,0.92,-5.55,1.1,1
5.15,-0.06,-0.02,0.99,1.1,-5.68,0.85,1
5.2,-0.06,-0.02,1,1.1,-5.68,0.98,1
5.25,-0.06,-0.03,1,0.79,-5.8,0.92,1
5.3,-0.06,-0.02,0.99,0.92,-5.86,1.1,1
5.35,-0.06,-0.03,0.99,0.67,-5.86,1.1,1
5.4,-0.06,-0.02,0.99,1.16,-5.86,1.16,1
5.45,-0.06,-0.02,1,0.55,-5.74,1.16,1
5.5,-0.06,-0.02,0.99,1.16,-5.86,0.98,1
5.55,-0.06,-0.03,1,0.98,-5.74,1.04,1
5.6,-0.06,-0.02,0.99,1.04,-5.8,1.1,1
5.65,-0.06,-0.03,0.99,1.16,-5.8,1.1,1
5.7,-0.06,-0.02,0.99,0.67,-5.8,0.98,1
5.75,-0.06,-0.02,1,1.1,-5.74,1.04,1
